번호,제목,저자,출판사,출판일
4,"A Toolkit for Developing Multi-User, Distributed Virtual Environments","Codella, C. F.;Jalili, R.;Koved, L.;Lewis, J. B.",IEEE,1993
5,Real-time Reproduction of 3D Human Images in Virtual Space Teleconferencing,"Ohya, J.;Kitamura, Y.;Takemura, H.;Kishino, F.",IEEE,1993
6,EM - An Environment Manager for Building Networked Virtual Environments,"Wang, Q.;Green, M.;Shaw, C.",IEEE Computer Society Press,1995
7,Applying virtual reality in medical communication education: current findings and potential teaching and learning benefits of immersive virtual patients,"Lok, B.; Ferdig, R. E.; Raij, A.; Johnsen, K.; Dickerson, R.; Coutts, J.; Stevens, A.; Lind, D. S.",Springer Science + Business Media,2006
8,Virtual Reality for the Pharmacy Industry,"Neugebauer, J.-G.",Mecklermedia,1994
9,A Multi-User Virtual Reality System,"Fahlen, L.",Mecklermedia,1994
10,The Use of Sketch Maps to Measure Cognitive Maps of Virtual Environments,"Billinghurst, M.;Weghorst, S.",IEEE Computer Society Press,1995
11,Applications of Biosignal Processing in Virtual Reality,"Lusted, H.;Lloyd, A.",Meckler,1993
12,On a Better Hand Model of Virtual Teaching for Multi-Fingered Robots,"Nakayama, K.",IOS,2000
13,The Use of Virtual Reality at Boeing's Huntsville Laboratories,"Tanner, S.",IEEE,1993
14,Virtual Reality in Architectural Design and Real Estate Simulations,"Smeltzer, G. T. A.;Mantelers, J. M. M.;Roelen, W. A. H.",IDB Conferences and Seminars,1995
15,The Effect of Interocular Distance upon Operator Performance using Stereoscopic Displays to Perform Virtual Depth Tasks,"Rosenberg, L. B.",IEEE,1993
16,The Virtual Wheelchair: Overcoming Real World Obstacles with Cyberspace Technology,"Kuhn, L.",CSUN,1994
17,"The Effects of Virtual Reality Immersion In The Treatment Of Anxiety, Panic, & Phobia Of Heights","Lamson, R. J.; Meisner, M.",CSUN,1994
18,Architectural Usage of Virtual Reality,"Qian, J.",IOS,2000
19,Spatial Perception in Virtual Environments: Evaluating an Architectural Application,"Henry, D.;Furness, T.",IEEE,1993
20,Virtual Realities: From the Concrete to the Barely Imaginable to the Fairly Reprehensible,"Marcus, S.",CSUN,1994
21,Teaching Orthopedically Impaired Children To Drive Motorized Wheelchairs In Virtual Reality,"Inman, D. P.; Peaks, J.; Loge, K.; Chen, V.",CSUN,1994
22,"Teaching, Technology and the Human Spirit: Exploring Access to the Virtual Campus","Brown, C.",CSUN,1994
23,Constructing the Virtual Assistive Agent,"Barry, P.; Dockery, J.",CSUN,1994
24,Virtual Reality - The Demonstration Centre,"Neugebauer, J.",Meckler,1993
25,Adding Reality to the Virtual,"Metzger, P.",IEEE,1993
26,Presence in Virtual Environments as a Function of Visual and Auditory Cues,"Hendrix, C.;Barfield, W.",IEEE Computer Society Press,1995
27,Synthesis of 3D Virtual Auditory Space via a Spatial Feature Extraction and Regularization Model,"Chen, J.;Van Veen, B. D.;Hecox, K. E.",IEEE,1993
28,Virtual Reality - The Next Generation,"Waldern, J.",Meckler,1993
29,Effect of Haptic Properties on Human Performance in Haptic Virtual Environment,"Alhalabi, M. O.",IOS,2000
30,Virtual Reality and the MultiG Project,"Fahlen, L. E.",Meckler,1993
31,A Study of an Operator Assistant for Virtual Space,"Chanezon, A.;Takemura, H.;Kitamura, Y.;Kishino, F.",IEEE,1993
32,Virtual Aristotelean Physics,"Poston, T.;Fairchild, K. M.",IEEE,1993
33,A Color Management Approach for the Virtual Restoration of Lost Cultural Heritage Sites,"Murata, K.",IOS,2000
34,Virtual Reality and Persons With Disabilities,"Bradbury, R.; Delaney, B.",CSUN,1994
35,The Use of 3-D Audio in a Synthetic Environment: An Aural Renderer for a Distributed Virtual Reality System,"Pope, S. T.;Fahlen, L. E.",IEEE,1993
36,A Virtual World for Network Management,"Feiner, S.;Zhou, M.;Crutcher, L.;Lazar, A.",IEEE,1993
37,Data Complexity for Virtual Reality: Where do all the Triangles Go?,"Deering, M. F.",IEEE,1993
38,Robotic Graphics: A New Approach to Force Feedback for Virtual Reality,"McNeely, W. A.",IEEE,1993
39,"Virtual Reality (VR) and human perception, performance, and behavior are related in a number of ways","Durlach, N.",IDB Conferences and Seminars,1995
40,Vocal communication in virtual environments,"Lehnert, H.;Giron, F.",IDB Conferences and Seminars,1995
41,Human Engineering in Virtual Environments,"Ellis, S. R.",IDB Conferences and Seminars,1995
42,Virtual Models of the Molding Process of Wood Compressed by the High-pressure Steam Technique - Towards the Development of an Aid-system for Designing and Manufacturing-,"Kyomori, K.-i.",IOS,2000
43,"""First Experiences with Virtual Reality - Results of a Group Discussion with New Users""","Goertz, L.;Mueller, A.;Seegers, K.",IDB Conferences and Seminars,1995
44,Research on Portable Force Feedback Masters for Virtual Reality,"Burdea, G. C.",IDB Conferences and Seminars,1995
45,The Virtual Retinal Display - A Retinal Scanning Imaging System,"Tidwell, M.;Johnston, R. S.;Melville, D.;Furness, T. A.",IDB Conferences and Seminars,1995
46,Virtual and Augmented Reality Challenges and Successes,"Vandamme, F.",IDB Conferences and Seminars,1995
47,Interactive Optimization with Evolutionary Strategies as a Tool for Virtual Reality,"Haefner, U.;Roessler, A.",IDB Conferences and Seminars,1995
48,E-service Evolution with Continuous Virtual Modeling Support,"Krzanik, L.",IOS,2000
49,A Virtual Reality Environment for Microtelemanipulation,"Sulzmann, A.;Baur, C.",IDB Conferences and Seminars,1995
50,VEVI: A Virtual Reality Tool for Robotic Planetary Explorations,"Piguet, L.;Fong, T.;Hine, B.;Hontalas, P.",IDB Conferences and Seminars,1995
51,A virtual Reality Software on the way for the Ultimate in Graphics Rendering and Real Time Performances,"Pouliquen, D.",IDB Conferences and Seminars,1995
52,Virtual Reality in Architecture,"Schmitt, G.",IDB Conferences and Seminars,1995
53,Medical Manipulators - Breakthrough with Virtual Reality,"Wapler, M.",IDB Conferences and Seminars,1995
54,A Virtual Environment for a surgical Room of the Future,"Kaplan, K.;Durlach, N. I.;Schodek, D. L.;Rattner, D.",IDB Conferences and Seminars,1995
55,"Telesurgery, Virtual Reality and the new World order of Medicine","Satava, R. M.",IDB Conferences and Seminars,1995
56,WIFI Interactive Information Center A Real Cyberspace and Virtual Reality Infrastructure for Economy and Education,"Schinagl, W.;Boltzmann, L.",IDB Conferences and Seminars,1995
57,"Virtual Environments for Design, Training, and Decision Support","Jense, G. J.",IDB Conferences and Seminars,1995
58,The Programming of Automation Systems with Virtual Reality,"Daeinghaus, R.;Neugebauer, J.-G.;Schraft, R. D.",IDB Conferences and Seminars,1995
59,Virtual Environments as an integrating Medium,"Wilson, J. R.;Cobb, S. V.;D'Cruz, M.",IDB Conferences and Seminars,1995
60,"Co-operative, Virtual Planning and Design","Bauer, W.;Breining, R.;Roessler, A.",IDB Conferences and Seminars,1995
61,"Animation, Interactive Film and Virtual Reality","Haegele, T.",IDB Conferences and Seminars,1995
62,Realistic Modeling of the Manufacturing Area of a Virtual Enterprise,"Gausemeier, J.;Ebbesmeyer, P.;Grafe, M.",IDB Conferences and Seminars,1995
63,Hyper-navigation in Virtual Buildings,"Emhardt, J.;Semmler, J.;Strothoue, T.",IEEE,1993
64,Programming robots via learning by showing in a virtual environment,"Brunner, B.;Arbter, K.;Hirzinger, G.;Koeppe, R.",IDB Conferences and Seminars,1995
65,"Virtual Reality Software: Past, present, and future","Hitchner, L. E.",IDB Conferences and Seminars,1995
66,Pen-based Haptic Virtual Environment,"Iwata, H.",IEEE,1993
67,Virtual Motion,"Denne, P.",Mecklermedia,1994
68,The Virtual Globe Theatre,"MacRae, A.",Mecklermedia,1994
69,A 3D Interface Device with Force Feedback: A Virtual Work Space for Pick-and-Place Tasks,"Ishii, M.;Sato, M.",IEEE,1993
70,EVE: Extended Virtual Environment,"Shaw, J.",Mecklermedia,1994
71,First UK National Survey of VR in Industry: Assessing Industry Perceptions of Virtual Reality,"Cobb, S.; Brown, D.",Mecklermedia,1994
72,The Virtual Aspect of the European Union,"Sherman, B.",Mecklermedia,1994
73,Simulation of Smart Office by Virtual Environment and PDA,"Mine, Y.",IOS,2000
74,Three case studies in Virtual Reality systems,"Lowe, B.",Mecklermedia,1994
75,Modelling Virtual Environments in Flight Simulation,"Vince, J.; Longhurst, C.",Mecklermedia,1994
76,Video See-through Design for Merging of Real and Virtual Environments,"Edwards, E. K.;Rolland, J. P.;Keller, K. P.",IEEE,1993
77,Design of a High Performance Haptic Interface to Virtual Environments,"Millman, P. A.;Stanley, M.;Colgate, J. E.",IEEE,1993
78,Virtual Mont Saint-Michel - Architectural Evolution of the Abbey through Thirteen Centuries using VR,"Pilpre, A.",IOS,2000
79,Employment Potential and Application of Virtual Reality in the Domain of Business Management,"Felger, W.;Waehlert, A.",IDB Conferences and Seminars,1995
80,Virtual Reality - Breaking Through in Industry,"Schraft, R. D.",IDB Conferences and Seminars,1995
81,A Virtual Drama Authoring System using Real-time Character Animation,"Lee, J.",IOS,2000
82,The role of facial communication in virtual environments,"Thalmann, N. M.",IDB Conferences and Seminars,1995
83,Advanced Topics in Virtual Reality Networking,"Katz, W.",IDB Conferences and Seminars,1995
84,Applications of Virtual Reality Techniques in the Industry Selected Examples,"Grebner, K.;May, F.",IDB Conferences and Seminars,1995
85,Virtual Reality - Potential and Risks of a New Technology,"Warnecke, H.-J.;Glitz, R.",IDB Conferences and Seminars,1995
86,Virtual Reality Research and applications in the Nordic Countries,"Oedegard, O.",IDB Conferences and Seminars,1995
87,Virtual Reality in Medicine,"Coleman, J.",Mecklermedia,1994
88,Sketch of a Fortified city: A Virtual Recontistution of Quebec city's Defense System Around 1815,"Renaud, V.",IOS,2000
89,"When, Why, and Whether to Experience Virtual Reality","Krueger, M. W.",IDB Conferences and Seminars,1995
90,Problems in Perception and Action in Virtual Worlds,"Rushton, S.;Wann, J.",Meckler,1993
91,Enhancing - Architectural Details Using Virtual Environments,"Bewick, N.;Riedel, O.",IDB Conferences and Seminars,1995
92,Real-time Walkthrough of Virtual Space using Environment Map,"Ryoo, S. T.",IOS,2000
93,DIVERSE: A Framework for Building Extensible and Reconfigurable Device Independent Virtual Environments,"Kelso, J.;Arsenault, L. E.;Satterfield, S. G.;Kriz, R. D.",IEEE,2002
94,Efficient Manipulation of Object Groups in Virtual Environments,"Stuerzlinger, W.;Smith, G.",IEEE,2002
95,Virtual Technologies and Environments for Expeditionary Warfare Training,"Lyons, D.;Cohn, J.;Schmorrow, D.",IEEE,2002
96,Building Virtual Human Body from Video,"Hoshnio, J.",IEEE,2002
97,MPEG-4 Based Recording and Replay of Collaborative Virtual Reality Sessions,"Hosseini, M.;Georganas, N. D.",IEEE,2002
98,"Perceived Egocentric Distances in Real, Image-Based, and Traditional Virtual Environments","Willemsen, P.;Gooch, A. A.",IEEE,2002
99,Polyvalent Display Framework to Control Virtual Navigations by 6DOF Tracking,"Bourdot, P.;Touraine, D.",IEEE,2002
100,The Virtual Community: A Place For The No-Longer-Disabled,"Nelson, J. A.",CSUN,1994
1,"6th Graders ""doin' science"" - Collecting Data and Looking for Patterns in a Virtual Field","Johnson, A.;Moher, T.;Cho, Y.-J.;Edelson, D.;Reiser, B.",IEEE,2002
2,Tinmith-Hand: Unified User Interface Technology for Mobile Outdoor Augmented Reality and Indoor Virtual Reality,"Piekarski, W.;Thomas, B. H.",IEEE,2002
3,Task-Oriented Design of Virtual Worlds,"Stary, C.",IEEE,1993
4,"Effects of Field of View on Presence, Enjoyment, Memory, and Simulator Sickness in a Virtual Environment","Lin, J. J.-W.;Duh, H. B. L.;Parker, D. E.;Abi-Rached, H.;Furness, T. A.",IEEE,2002
5,Attention Enhancement System using Virtual Reality and EEG Biofeedback,"Cho, B. H.;Lee, J. M.;Ku, J. H.;Jang, D. P.;Kim, J. S.;Kim, I. Y.;Lee, J. H.;Kim, S. I.",IEEE,2002
6,Perceptual Stability during Head Movement in Virtual Reality,"Jaekl, P. M.;Allison, R. S.;Harris, L. R.;Jasiobedzka, U. T.;Jenkin, H. L.;Jenkin, M. R.;Zacher, J. E.;Zikovitz, D. C.",IEEE,2002
7,European virtual classrooms: building effective “virtual�? educational experiences,"Blas, N.; Poggi, C.",Springer Science + Business Media,2007
8,An Architecture for QoS Data Replication in Network Virtual Environments,"Popescu, G. V.;Codella, C. F.",IEEE,2002
9,"""Talking to Agents in Virtual Worlds""","McGlashen, S.;Axling, T.",De Montfort University,1996
10,"""Simon Says"": Using Speech to Perform Tasks in Virtual Environments","Middleton, T.; Boman, D.",CSUN,1994
11,"""Effects of Immersive Virtual Reality on Body Representations""","Riva, G.;Bolzoni, M.;Melis, L.",De Montfort University,1996
12,"""Guidelines for the Design and Exploration of Virtual Environments""","Charitos, D.;Rutherford, P.",De Montfort University,1996
13,"VESS: Coordinating Graphics, Audio, and User Interaction in Virtual Reality Applications","Daly, J.;Kline, B.;Martin, G. A.",IEEE,2002
14,"""Detection of Complex Collisions in a Virtual Environment""","Ransom, A.",De Montfort University,1996
15,"""Gargoyle: an Interactive Virtual Sculpting System""","Noble, R.;Clapworthy, G.",De Montfort University,1996
16,DLoVe: Using Constraints to Allow Parallel Processing in Multi-User Virtual Reality,"Deligiannidis, L.;Jacob, R. J. K.",IEEE,2002
17,A Combined Immersive and Desktop Authoring Tool for Virtual Environments,"Holm, R.;Stauder, E.;Wagner, R.;Priglinger, M.;Volkert, J.",IEEE,2002
18,Applications of Temporal Links: Recording and Replaying Virtual Environments,"Greenhalgh, C.;Flintham, M.;Purbrick, J.;Benford, S.",IEEE,2002
19,Psychophysical Effects of Immersive Virtual Reality,"Loftin, R. B.;Ellis, S. R.;Harm, D.;Kennedy, R. S.;Stanney, K. M.",IEEE,2002
20,"""Collision Detection in Distributed Virtual Worlds""","Sandoz, P.;Sharkey, P.",De Montfort University,1996
21,An Open Middleware for Large-Scale Networked Virtual Environments,"Tran, F. D.;Deslaugiers, M.;Gerodolle, A.;Hazard, L.;Rivierre, N.",IEEE,2002
22,Virtual Shadows - Enhanced Interaction in Mixed Reality Environment,"Naemura, T.;Nitta, T.;Mimura, A.;Harashima, H.",IEEE,2002
23,Tutorial 1: Usability Evaluation Techniques for Virtual Reality Technologies,"Mania, K.;Ellis, S.;Billinghurst, M.;Steed, A.",IEEE,2002
24,The Contribution of Virtual Reality to the Knowledge on the Architectonic Space of the Mesoamerican Site of Cacaxtla,"Lucet, G.",IOS,2000
25,A Novel Gestural Input Device for Virtual Reality,"Maggioni, C.",IEEE,1993
26,Hellenic Cultural Heritage through Immersive Virtual Archaeology,"Gaitatzes, A.",IOS,2000
27,Putting Virtual Heritage in the Field: the PAST Project,"Dodero, G.",IOS,2000
28,"""This Old Digital City"": Virtual Historical Cedar Rapids, lowa circa 1900","Cremer, J.",IOS,2000
29,Transmission of Realistic Sensation: Development of a Virtual Dome,"Hirose, M.;Yokoyama, K.;Sato, S.",IEEE,1993
30,Explorations of Display Interfaces for Virtual Reality,"Deering, M. F.",IEEE,1993
31,Human Performance Evaluation of Manipulation Schemes in Virtual Environments,"Zhai, S.;Milgram, P.",IEEE,1993
32,Virtuality in Russian Museums on the Web: In Search of Adequate Way of Representation of Cultural Heritage Information,"Bogomazova, T.",IOS,2000
33,Touch and Trace on the Free-Form Surface of Virtual Object,"Adachi, Y.",IEEE,1993
34,Virtual Reality as a Focal Point between New Media and Telecommunication,"Bullinger, H.-J.;Riedel, O.;Roessler, A.",IDB Conferences and Seminars,1995
35,The National Gallery Of Ireland Virtual Gallery,"McAtamney, H.",IOS,2000
36,The Hyper Hospital - A Network Oriented Virtual Reality Based Medical Care System,"Yamaguchi, T.; Furuta, N.; Shindo, K.; Hayasaka, T.",CSUN,1994
37,The Role of Virtual Reality Driving Simulators For Rehabilitation and Assessment of Disabled Persons,"Turner, L. A.",CSUN,1994
38,The Determination of Wheelchair User Proficiency And Environmental Accessibility Through Virtual Simulation,"Swan, J. E.; Stredney, D.; Carlson, W.; Blostein, B.",CSUN,1994
39,Tutorial 4: Open Source Virtual Reality,"Just, C.;Meinert, K.;Bierbaum, A.;Hartling, P.",IEEE,2002
40,Tutorial 5: A Hands-On Introduction to Networked Virtual Environments,"Zyda, M.;McGregor, D.;Brutzman, D.;Kapolka, A.",IEEE,2002
41,Workshop 1: Virtual Environment Usability Engineering,"Stanney, K. M.;Mollaghasemi, M.",IEEE,2002
42,Workshop 2: Storytelling in Virtual Reality Environments,"Mostafawy, S.",IEEE,2002
43,Virtual Laboratory for Disabled Students: Interactive Metaphors and Methods,"Nemire, K.",CSUN,1994
44,Nonlinear Interactive Motion Control Techniques for Virtual Space Navigation,"Song, D.;Norman, M.",IEEE,1993
45,Using Virtual Reality to Document Human Existence,"Panos, G. P.",CSUN,1994
46,Autonomous Wheelchair Control by an Approximate Virtual Reality System,"Powell, G.; McJunkin, T.; Gunderson, R.",CSUN,1994
47,Documentation of Virtualized Architecture: A Proposal,"Van Scoy, F.",IOS,2000
48,Virtual Reality Applications for the Cognitive Rehabilitation of Persons with Traumatic Head Injuries,"Rizzo, A. A.",CSUN,1994
49,"Creating Dance With Life Forms: Virtuality, Dance, And Choreography For Students With And Without Disabilities","Rose, A.",CSUN,1994
50,Foot-Based Interfaces to Virtual Environments Using the Immersion Interface Box (TM),"Rosenberg, L. B.; Jackson, B. G.",CSUN,1994
51,Generating Virtual Environments to Allow Increased Access to the Built Environment,"Foster, G. T.; Wenn, D. E. N.; O'Hart, F.; Harwin, W. S.",unknown,1998
52,An Extensible Event-Based Infrastructure for Networked Virtual Worlds,"Purbrick, J.;Greenhalgh, C.",IEEE,2002
53,"""Virtual Data Gloves: Interacting with Environments Through Computer Vision""","Bowden, R.",De Montfort University,1996
54,Pen-Based Force Display for Precision Manipulation in Virtual Environments,"Buttolo, P.;Hannaford, B.",IEEE Computer Society Press,1995
55,Using Virtual Individualized Residential Alternatives (VIRAs) to Match Consumer Disabilities with Appropriate Assistive Technologies,"Murphy, T. E.; Van der Gaag, M.; Briggs, J. C.; Scherer, M. J.",CSUN,1994
56,Intergrating Virtual Environments with High Performance Computing,"Faigle, C.;Fox, G. C.;Furmanski, W.;Niemiec, J.",IEEE,1993
57,Design of Locomotion Interface on a Virtual Plane,"Wang, J.",IOS,2000
58,"Interactive Storytelling in Virtual Environments: Building the ""Holodeck""","Cavazza, M.",IOS,2000
59,A Preliminary Study Of The Human Interface Using Event-Related Potentials For The Control Of The Virtual Reality System,"Mitsutake, N.; Hoshiai, K.; Sugioka, Y.; Yamamoto, Y.",CSUN,1994
60,Virtual Fixtures: Perceptual Tools for Telerobotic Manipulation,"Rosenberg, L. B.",IEEE,1993
61,Production and Playback of Human Figure Motion for 3D Virtual Environments,"Granieri, J. P.;Crabtree, J.;Badler, N. I.",IEEE Computer Society Press,1995
62,The Joys and Pitfalls of Creating a Grant Regarding Virtual Reality,"Miller, T. W.; Burton, G. U.",CSUN,1994
63,The Role of Virtual Reality and Computer Graphics in the Visualisation of Waste Management Facilities,"Tucker, A.",IOS,2000
64,Presence in Immersive Virtual Environments,"Slater, M.;Usoh, M.",IEEE,1993
65,An Application of Shared Virtual Reality to Situational Training,"Stansfield, S.;Miner, N.;Shawver, D.;Rogers, D.",IEEE Computer Society Press,1995
66,A Distributed Virtual Environment for Concurrent Engineering,"Maxfield, J.;Fernando, T.;Dew, P.",IEEE Computer Society Press,1995
67,Networked Virtual Environments,"Zyda, M. J.;Gossweiler, R.;Morrison, J.;Singhal, S.",IEEE Computer Society Press,1995
68,Ultrasonic Calibration of a Magnetic Tracker in a Virtual Reality Space,"Ghazisaedy, M.;Adamczyk, D.;Sandin, D. J.;Kenyon, R. V.",IEEE Computer Society Press,1995
69,Intermediate Representation for Stiff Virtual Objects,"Adachi, Y.;Kumano, T.;Ogino, K.",IEEE Computer Society Press,1995
70,Simulation and Presentation of Curved Surface in Virtual Reality Environment Through Surface Display,"Hirota, K.;Hirose, M.",IEEE Computer Society Press,1995
71,Integration of the Rutgers Master II in a Virtual Reality Simulation,"Gomez, D.;Burdea, G.;Langrana, N.",IEEE Computer Society Press,1995
72,Model-Based Vision as Feedback for Virtual Reality Robotics Environments,"Natonek, E.;Zimmerman, T.;Flueckiger, L.",IEEE Computer Society Press,1995
73,Human Figure Synthesis and Animation for Virtual Space Teleconferencing,"Singh, K.;Ohya, J.;Parent, R.",IEEE Computer Society Press,1995
74,Action Recognition: How Intelligent Virtual Environments Can Ease Human-Machine Interaction,"Verna, D.",IOS,2000
75,Interactive and Continuous Collision Detection for Avatars in Virtual Environments,"Redon, S.; Kim, Y.; Lin, M.; Manocha, D.; Templeman, J.","IEEE,",2004
76,A Research Testbed for Virtual Environment Training Applications,"Moshell, J. M.;Blau, B. S.;Knerr, B.;Lampton, D. R.",IEEE,1993
77,Virtual Actors and Avatars in a Flexible User-Determined-Scenario Environment,"Shawver, D. M.",IEEE Computer Society Press,1997
78,Handling Heterogeneity in Networked Virtual Environments,"Trefftz, H.;Marsic, I.;Zyda, M.",IEEE,2002
79,Virtual Reality Evolution or Revolution,"Grimsdale, C.",Meckler,1993
80,Animating Virtual Creatures by Constraint-based Adaptive Search,"Codognet, P.",IOS,2000
81,Virtual Reality Applications for Teaching Social Skills to Students with Emotional and Behavioral Disorders,"Muscott, H. S.; Gifford, T.",CSUN,1994
82,Interacting in Distributed Collaborative Virtual Environments,"Broll, W.",IEEE Computer Society Press,1995
83,Urbi et Orbi: Unusual Design and Implementation Choice for Distributed Virtual Environments,"Verna, D.",IOS,2000
84,A Vision-Based Head Tracker for Fish Tank Virtual Reality - VR Without Head Gear,"Rekimoto, J.",IEEE Computer Society Press,1995
85,Intelligent Assistance for Intravascular Tele-Surgery and Experiments on Virtual Simulator,"Arai, F.;Ito, M.;Fukuda, T.;Negoro, M.",IEEE Computer Society Press,1995
86,Effective strategies of tutors teaching adults with learning disabilities to use virtual environments,"Standen, P.;Brown, D.;Blake, R.;Proctor, T.",University of Reading,2000
87,Embodying cognition: a proposal for visualizing mental representations in virtual environments,"Sanchez, A.;Barreiro, J. M.;Maojo, V.",University of Reading,2000
88,Preliminary Findings on a Virtual Environment Targeting Human Mental Rotation/Spatial Abilities,"Rizzo, A.;Buckwalter, J. G.;Larson, P.;van Rooyen, A.;Kratz, K.;Neumann, U.;Kesselman, C.;Thiebaux, M.",University of Reading,1998
89,The effect of interactive virtual environment training on independent safe street crossing of right CVA patients with unilateral spatial neglect,"Naveh, Y.;Katz, N.;Weiss, P.",University of Reading,2000
90,Generating virtual environments to allow increased access to the built environment,"Foster, G. T.;Wenn, D. E. N.;O'Hart, F.",University of Reading,1998
91,Cognitive intervention through virtual environments among deaf and hard-of-hearing children,"Passig, D.;Eden, S.",University of Reading,2000
92,Using immersive virtual reality to test allocentric spatial memory impairment following unilateral unilateral temporal lobectomy,"Morris, R.;Parslow, D.;Recce, M.",University of Reading,2000
93,Employing virtual reality for aiding the organisation of autistic children behaviour in everyday tasks,"Charitos, D.;Karadanos, G.;Sereti, E.;Triantafillou, S.;Koukouvinou, S.;Martakos, D.",University of Reading,2000
94,Evaluation of virtual learning environments,"Cobb, S. V. G.;Neale, H. R.;Reynolds, H.",University of Reading,1998
95,More on central nervous system correlates of virtual reality testing,"Pugnetti, L.;Meehan, M.;Mendozzi, L.;Riva, F.;Barbieri, E.;Carmagnani, E.",University of Reading,2000
96,Designing virtual learning environments for people with learning disabilities: usability issues,"Neale, H.;Cobb, S.;Wilson, J.",University of Reading,2000
97,Implementation and capabilities of a virtual interaction system,"Joyce, A. W.;Phalangas, A. C.",University of Reading,1998
98,Special considerations for navigation and interaction in virtual environments for people with brain injury,"Linden, A.;Davies, R.;Boschian, K.;Minor, U.;Olsson, R.;Sonesson, B.;Wallergard, M.;Johansson, G.",University of Reading,2000
99,Community access through technology project: using virtual reality technologies for community integration,"Broida, J. K.;Germann, C.;Houck, S.;Broida, J.",University of Reading,2000
100,Interactive interfaces for movement rehabilitation in virtual environments,"Smyth, M.;Wann, J.",University of Reading,2000
1,Development of social skills amongst adults with Asperger's Syndrome using virtual environments: the `AS Interactive' project,"Parsons, S.;Beardon, L.;Neale, H.;Reynard, G.;Eastgate, R.;Wilson, J.;Cobb, S.;Benford, S.;Mitchell, P.;Hopkins, E.",University of Reading,2000
2,Applications of virtual reality for the assessment and treatment of topographical disorientation: a project,"Bertella, L.;Marchi, S.;Riva, G.",University of Reading,2000
3,Can a haptic force feedback display provide visually impaired people with useful information about texture roughness and 3D form of virtual objects?,"Jansson, G.",University of Reading,1998
4,Peripheral responses to a mental-stress inducing virtual environment experience,"Meehan, M.;Pugnetti, L.;Riva, F.;Barbieri, E.;Mendozzi, L.;Carmagnani, E.",University of Reading,2000
5,WINVR09-722 Evaluating the Impact of Virtual Reality on Mechanical Design Education,"Peruzzini, M.; Mengoni, M.; Germani, M.","New York, N.Y.; American Society of Mechanical Engineers",2009
6,The many rooms of the virtual work-place,"Magnusson, M.",University of Reading,2000
7,Application of virtual reality technology to the assessment and training of powered wheelchair users,"Harrison, A.;Derwent, G.;Enticknap, A.;Rose, D.;Attree, E.",University of Reading,2000
8,"Using Teleporting, Awareness and Multiple Views to Improve Teamwork in Collaborative Virtual Environments","Dodds, T.J.; Ruddle, R.A.",Aire-la-Ville; Eurographics Association,2008
9,Tangible Interaction for 3D Widget Manipulation in Virtual Environments,"Kruszynski, K.J.; van Liere, R.",Aire-la-Ville; Eurographics Association,2008
10,"Display Devices for Virtual Environments: Impact on Performance, Workload, and Simulator Sickness","Conradi, J.; Alexander, T.",Aire-la-Ville; Eurographics Association,2008
11,Spotlight Interest Management for Distributed Virtual Environments,"Dunwell, I.; Whelan, J.C.",Aire-la-Ville; Eurographics Association,2008
12,Simulation of the behaviour of a powered wheelchair using virtual reality,"Niniss, H.;Nadif, A.",University of Reading,2000
13,WINVR09-713 Assembly Planning and Motion Study Using Virtual Reality,"Sung, R.C.W.; Ritchie, J.M.; Lim, T.; Medellin, H.","New York, N.Y.; American Society of Mechanical Engineers",2009
14,Development of a wheelchair virtual reality platform for use in evaluating wheelchair access,"Harrison, C.;Dall, P.;Grant, M.;Granat, M.;Mayer, T.;Conway, B.",University of Reading,2000
15,Building Virtual Worlds: A City Planning Perspective,"Ingram, R.",Brunel University,1997
16,WINVR09-730 Isis: Patient Data Visualization and Surgical Planning in an Interactive Virtual Environment,"Foo, J.L.; Lobe, T.; Winer, E.","New York, N.Y.; American Society of Mechanical Engineers",2009
17,WINVR09-742 Modeling Dynamic Behavior of Parts in Virtual Assembly Environment,"Garbaya, S.; Zaldivar-Colado, U.","New York, N.Y.; American Society of Mechanical Engineers",2009
18,Haptic virtual environments for blind people: further explorations with the Phantom device,"Petrie, H.;Penn, P.;Kornbrot, D.;Furner, S.;Hardwick, A.",University of Reading,2000
19,Interactive and Accurate Collision Detection in Virtual Orthodontics,"Rodrigues, M.A.F.; Rocha, R.S.; Silva, W.B.",Aire-la-Ville; Eurographics Association,2008
20,"Multi-sensory virtual environment for supporting blind persons' acquisition of spatial cognitive mapping, orientation, and mobility skills","Lahav, O.;Mioduser, D.",University of Reading,2000
21,A practical example using virtual reality in the assessment of brain injury,"Davies, R. C.;Johansson, G.;Boschian, K.;Linden, A.;Minor, U.;Sonesson, B.",University of Reading,1998
22,Usability and cognitive impact of the interaction with 3D virtual interactive acoustic environments by blind children,"Sanchez, J.;Lumbreras, M.",University of Reading,2000
23,The use of haptic virtual environments by blind people,"Colwell, C.;Petrie, H.;Kornbrot, D.;Hardwick, A.;Furner, S.",University of Reading,1998
24,Ambisonic sound in virtual environments and applications for blind people,"Cooper, M.;Taylor, M. E.",University of Reading,1998
25,WINVR09-743 Virtual Assembly Environment Modelling,"Zaldivar-Colado, U.; Garbaya, S.","New York, N.Y.; American Society of Mechanical Engineers",2009
